Timestamp: 22:31:07.764 - Frame 176: x=0.01, y=0.02, z=0.70
Timestamp: 22:31:07.778 - Frame 177: x=0.01, y=0.02, z=0.70
Timestamp: 22:31:07.835 - Frame 178: x=0.01, y=0.02, z=0.69
Timestamp: 22:31:07.855 - Frame 179: x=0.01, y=0.02, z=0.69
Timestamp: 22:31:07.873 - Frame 180: x=0.01, y=0.02, z=0.69
Timestamp: 22:31:07.935 - Frame 181: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:07.950 - Frame 182: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.011 - Frame 183: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.029 - Frame 184: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.046 - Frame 185: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.106 - Frame 186: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.122 - Frame 187: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.138 - Frame 188: x=0.01, y=0.01, z=0.70
Timestamp: 22:31:08.476 - Frame 189: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.493 - Frame 190: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.506 - Frame 191: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.572 - Frame 192: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.587 - Frame 193: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.600 - Frame 194: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.667 - Frame 195: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.678 - Frame 196: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.693 - Frame 197: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.747 - Frame 198: x=-0.02, y=0.01, z=0.71
Timestamp: 22:31:08.773 - Frame 199: x=-0.02, y=0.01, z=0.71
Timestamp: 22:31:08.842 - Frame 200: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.864 - Frame 201: x=-0.01, y=0.01, z=0.71
